City,Cloud Cover,Country,Date,Humidity,Latitude,Longitude,Max Temp,Temperature,Wind Speed
Troitsko-Pechorsk,0,RU,1561524890,43,62.71,56.19,56.75,56.75,5.5
Kodiak,1,US,1561524890,64,39.95,-94.76,79.0,76.37,10.29
Iqaluit,20,CA,1561524834,70,63.75,-68.52,44.6,44.28,4.7
Oistins,20,BB,1561524890,74,13.07,-59.53,80.6,80.6,19.46
Yumen,100,CN,1561524890,23,40.29,97.04,77.81,77.81,5.64
Thompson,90,CA,1561524890,87,55.74,-97.86,55.4,55.4,4.7
Bilibino,0,RU,1561524891,32,68.06,166.44,59.45,59.45,19.22
Avarua,27,CK,1561524891,69,-21.21,-159.78,73.4,73.4,4.7
Komsomolskiy,100,RU,1561524891,86,67.55,63.78,42.89,42.89,13.71
Tasiilaq,33,GL,1561524891,86,65.61,-37.64,39.2,39.2,7.72
Te Anau,33,NZ,1561524891,78,-45.41,167.72,43.61,43.61,8.16
Ahipara,3,NZ,1561524891,78,-35.17,173.16,57.83,57.83,17.63
Butaritari,100,KI,1561524833,72,3.07,172.79,84.47,84.47,11.5
Luderitz,18,NA,1561524892,81,-26.65,15.16,46.4,46.4,2.24
Dayong,100,PH,1561524892,73,11.74,122.04,85.19,85.19,16.44
Port Alfred,37,ZA,1561524548,95,-33.59,26.89,60.01,60.01,7.0
Barranca,71,PE,1561524892,87,-10.75,-77.76,61.97,61.97,16.04
Albany,40,US,1561524595,93,42.65,-73.75,69.01,63.48,3.36
Jamestown,0,AU,1561524892,45,-33.21,138.6,61.79,61.79,9.17
Upernavik,100,GL,1561524892,85,72.79,-56.15,32.99,32.99,4.34
Lumby,1,CA,1561524893,63,50.25,-118.97,61.0,60.93,2.24
Vestmanna,95,FO,1561524893,93,62.16,-7.17,50.0,50.0,12.75
Kahului,40,US,1561524655,51,20.89,-156.47,86.0,78.93,5.82
Imperial,1,US,1561524730,22,32.85,-115.57,91.4,87.66,8.05
San Patricio,98,PY,1561524893,81,-26.98,-56.83,43.97,43.97,6.11
Lagoa,40,PT,1561524645,100,37.14,-8.45,68.0,66.85,5.82
Ketchikan,1,US,1561524893,63,55.34,-131.65,66.2,65.61,14.99
Abha,20,SA,1561524893,37,18.22,42.5,73.4,70.83,13.09
Airai,0,TL,1561524894,41,-8.93,125.41,83.75,83.75,3.06
Tashara,1,RU,1561524894,55,55.52,83.51,74.75,74.75,6.49
Alofi,94,NU,1561524894,78,-19.06,-169.92,77.0,77.0,13.87
Nanortalik,100,GL,1561524894,91,60.14,-45.24,41.81,41.81,6.49
Mataura,73,NZ,1561524894,80,-46.19,168.86,51.01,51.01,5.01
Mutoko,38,ZW,1561524894,68,-17.4,32.23,57.83,57.83,4.0
Khani,75,GE,1561524895,88,41.96,42.96,78.8,78.8,1.12
Mar del Plata,51,AR,1561524814,73,-46.43,-67.52,39.83,39.83,23.62
Kandrian,66,PG,1561524895,70,-6.21,149.55,82.49,82.49,8.61
Saldanha,23,PT,1561524895,81,41.42,-6.55,60.35,60.35,2.13
Yulara,0,AU,1561524882,16,-25.24,130.99,68.0,68.0,9.17
Methoni,20,GR,1561524895,37,36.82,21.7,86.0,85.19,4.7
Mount Isa,0,AU,1561524895,17,-20.73,139.49,73.4,73.4,10.29
Kruisfontein,81,ZA,1561524896,94,-34.0,24.73,52.79,52.79,10.04
Rivera,67,UY,1561524896,81,-30.9,-55.54,36.23,36.23,3.47
Saint George,40,GR,1561524896,73,39.45,22.34,77.0,75.9,5.82
Tilichiki,33,RU,1561524896,66,60.47,166.1,53.69,53.69,6.67
Kibre Mengist,96,ET,1561524896,97,5.87,38.99,57.47,57.47,1.88
Safford,1,US,1561524896,9,32.83,-109.71,89.6,84.24,14.99
Porto Murtinho,98,BR,1561524897,88,-21.7,-57.88,52.79,52.79,10.27
Lavrentiya,100,RU,1561524897,60,65.58,-170.99,48.29,48.29,9.84
Dingle,92,PH,1561524897,76,11.0,122.67,85.01,85.01,9.6
Hudson Bay,30,CA,1561524897,83,52.86,-102.4,51.71,51.71,4.59
Manggar,22,ID,1561524897,77,-2.88,108.27,84.11,84.11,7.85
Dongsheng,1,CN,1561524897,48,29.72,112.52,88.79,88.79,3.85
Port Hedland,15,AU,1561524897,21,-20.31,118.58,82.4,82.4,12.75
Daru,81,SL,1561524898,99,7.99,-10.85,72.59,72.59,0.47
Venice,20,US,1561524898,61,27.1,-82.45,84.2,79.92,5.82
Zhireken,100,RU,1561524898,30,52.82,117.29,74.03,74.03,10.31
Chernyshevskiy,28,RU,1561524898,35,63.01,112.47,77.27,77.27,4.21
San Rafael,87,AR,1561524857,29,-34.61,-68.33,40.73,40.73,12.24
Aklavik,75,CA,1561524899,65,68.22,-135.01,41.0,41.0,10.29
Palmer,20,AU,1561524899,48,-34.85,139.16,66.99,64.72,14.99
San Carlos de Bariloche,90,AR,1561524899,100,-41.13,-71.31,33.8,33.8,21.92
Tuktoyaktuk,90,CA,1561524900,83,69.44,-133.03,37.4,37.4,20.8
Uige,0,AO,1561524900,82,-7.61,15.06,58.55,58.55,3.18
Cabo San Lucas,5,MX,1561524691,44,22.89,-109.91,78.8,72.57,3.36
Kapaa,90,US,1561524900,88,22.08,-159.32,78.8,76.62,4.7
Leningradskiy,57,RU,1561524900,89,69.38,178.42,35.15,35.15,17.76
Guerrero Negro,77,MX,1561524900,86,27.97,-114.04,63.23,63.23,14.88
Bedford,90,GB,1561524901,93,52.14,-0.47,59.0,57.0,12.75
Konevo,18,BG,1561524901,61,41.67,25.61,79.0,79.0,7.0
Hithadhoo,75,MV,1561524548,69,-0.6,73.08,84.47,84.47,5.91
Xam Nua,100,LA,1561524901,62,20.42,104.04,83.57,83.57,5.91
Souillac,0,FR,1561524901,77,45.6,-0.6,69.8,67.14,6.93
Qaanaaq,85,GL,1561524901,91,77.48,-69.36,32.27,32.27,3.18
Istmina,86,CO,1561524901,96,5.16,-76.69,73.67,73.67,1.79
Half Moon Bay,90,US,1561524902,87,37.46,-122.43,62.6,58.08,6.93
Mandali,0,IQ,1561524902,6,33.75,45.55,108.77,108.77,11.99
Nouadhibou,0,MR,1561524667,88,20.93,-17.03,69.8,69.8,23.04
De Aar,2,ZA,1561524902,30,-30.65,24.01,44.69,44.69,11.72
Gongzhuling,96,CN,1561524902,36,43.5,124.81,84.11,84.11,22.77
Deputatskiy,0,RU,1561524902,30,69.3,139.9,74.75,74.75,14.16
Lismore,40,AU,1561524902,77,-28.81,153.28,64.4,62.49,14.99
Gushikawa,75,JP,1561524902,94,26.35,127.87,82.4,79.88,21.92
Cape Town,0,ZA,1561524699,81,-33.93,18.42,59.0,55.09,6.93
Kinwat,1,IN,1561524903,48,19.62,78.2,92.93,92.93,6.22
Provideniya,90,RU,1561524857,71,64.42,-173.23,50.0,50.0,17.9
Peniche,75,PT,1561524903,93,39.36,-9.38,64.0,62.04,2.24
Ribeira Grande,96,PT,1561524549,74,38.52,-28.7,65.39,65.39,16.42
Longyearbyen,75,NO,1561524903,80,78.22,15.63,41.0,41.0,4.7
Batticaloa,100,LK,1561524903,43,7.71,81.69,92.57,92.57,5.32
Tiksi,25,RU,1561524904,53,71.64,128.87,61.79,61.79,6.78
Ahlat,0,TR,1561524904,46,38.75,42.49,76.01,76.01,5.82
Lazaro Cardenas,20,MX,1561524904,41,28.39,-105.62,80.01,77.34,10.29
Christchurch,21,NZ,1561524749,87,-43.53,172.64,48.2,46.22,8.05
Juneau,20,US,1561524794,46,58.3,-134.42,73.4,71.33,4.7
New Norfolk,0,AU,1561524904,50,-42.78,147.06,57.2,56.25,8.05
Nayoro,20,JP,1561524689,63,44.36,142.46,67.37,67.37,15.73
Ewo,65,CG,1561524904,76,-0.88,14.81,72.41,72.41,9.78
Westport,75,IE,1561524905,100,53.8,-9.52,57.0,54.91,6.93
Bonavista,11,CA,1561524905,83,48.65,-53.11,41.0,41.0,5.99
Lethem,36,GY,1561524905,86,3.38,-59.8,75.47,75.47,7.76
Atambua,0,ID,1561524905,56,-9.11,124.89,81.41,81.41,2.82
Georgetown,40,GY,1561524428,94,6.8,-58.16,77.0,77.0,4.7
Pitalito,100,CO,1561524905,98,1.85,-76.04,46.85,46.85,1.34
Benguela,14,AO,1561524905,82,-12.58,13.4,69.35,69.35,6.89
Narsaq,100,GL,1561524905,76,60.91,-46.05,51.8,51.8,4.7
Faanui,7,PF,1561524906,80,-16.48,-151.75,79.79,79.79,15.17
Fortuna,20,ES,1561524906,88,38.18,-1.13,75.2,70.83,6.93
Gwadar,0,PK,1561524906,78,25.12,62.33,84.11,84.11,8.21
Lamu,84,ID,1561524906,69,0.57,122.3,83.93,83.93,6.85
Moron,56,VE,1561524906,96,10.49,-68.2,73.13,73.13,1.79
Cordoba,100,CO,1561524907,94,5.59,-73.79,58.19,58.19,3.27
Saint-Philippe,1,CA,1561524907,73,45.36,-73.48,70.0,66.92,4.7
Russell,0,AR,1561524907,34,-33.01,-68.8,35.6,35.6,5.68
Sunnyside,45,CA,1561524907,94,47.86,-53.92,44.01,44.01,3.22
Saint-Joseph,0,FR,1561524548,73,43.56,6.97,81.0,74.91,5.82
Lasa,20,CY,1561524908,53,34.92,32.53,84.2,80.73,8.05
Salalah,75,OM,1561524549,89,17.01,54.1,84.2,84.2,6.93
Rudsar,0,IR,1561524908,51,37.14,50.29,84.2,84.2,6.93
Kaitangata,34,NZ,1561524908,62,-46.28,169.85,48.99,48.99,4.0
Cockburn Town,0,TC,1561524908,80,21.46,-71.14,80.69,80.69,13.33
Nome,40,US,1561524908,88,30.04,-94.42,73.4,71.92,6.4
Tamandare,8,BR,1561524908,92,-8.28,-70.75,69.89,69.89,2.21
Cidreira,100,BR,1561524909,70,-30.17,-50.22,50.63,50.63,10.78
Los Llanos de Aridane,0,ES,1561524909,64,28.66,-17.92,69.8,69.8,8.05
Port Lincoln,0,AU,1561524909,62,-34.72,135.86,61.07,61.07,12.28
Serrana,40,BR,1561524909,77,-21.21,-47.61,64.4,64.4,2.24
Bambous Virieux,75,MU,1561524903,83,-20.34,57.76,75.2,74.57,16.11
Hasaki,40,JP,1561524909,65,35.73,140.83,90.0,85.66,11.41
Morondava,0,MG,1561524548,63,-20.3,44.28,72.05,72.05,8.93
Vao,100,EE,1561524910,65,59.1,26.19,61.61,61.61,4.92
Hauterive,0,FR,1561524910,72,46.09,3.45,70.0,63.0,3.36
Burnie,17,AU,1561524910,69,-41.05,145.91,55.99,55.99,3.0
San Andres,100,PH,1561524910,63,13.32,122.68,88.07,88.07,7.81
Kondinskoye,100,RU,1561524910,45,59.65,67.41,58.73,58.73,16.4
Penzance,47,GB,1561524911,93,50.12,-5.53,60.01,57.47,11.41
Chimore,82,BO,1561524911,97,-16.98,-65.13,63.59,63.59,2.13
Arlit,0,NE,1561524911,18,18.74,7.39,91.31,91.31,8.32
Berlevag,75,NO,1561524911,71,70.86,29.09,50.0,47.73,24.16
Corning,1,US,1561524636,93,42.14,-77.05,64.4,60.31,5.35
Verkh-Suetka,0,RU,1561524911,56,53.3,80.05,73.67,73.67,11.88
Ancud,0,CL,1561524911,76,-41.87,-73.83,48.2,48.2,10.29
Areka,0,ET,1561524912,83,7.07,37.71,68.63,68.63,3.02
Torbay,5,CA,1561524912,93,47.66,-52.73,45.0,43.95,5.82
Beberibe,75,BR,1561524912,74,-4.18,-38.13,80.6,80.6,21.92
Gotsu,75,JP,1561524912,65,35.01,132.22,80.6,80.6,10.29
Port Elizabeth,1,US,1561524912,94,39.31,-74.98,77.0,72.09,4.7
El Sauzal,0,AR,1561524912,87,-24.3,-64.96,42.8,42.8,3.15
Cap Malheureux,75,MU,1561524912,83,-19.98,57.61,75.2,74.68,16.11
Presidencia Roque Saenz Pena,74,AR,1561524913,64,-26.79,-60.44,41.99,41.99,4.45
East London,75,ZA,1561524913,93,-33.02,27.91,59.0,59.0,4.7
Kibungo,100,RW,1561524913,72,-2.14,30.55,68.0,68.0,1.74
Calahorra,0,ES,1561524913,73,42.3,-1.96,71.6,67.64,4.7
Qinzhou,100,CN,1561524913,70,21.96,108.62,89.69,89.69,11.83
Varhaug,75,NO,1561524913,100,58.61,5.65,57.99,57.24,6.93
Aswan,0,EG,1561524914,22,24.09,32.9,89.6,89.6,9.17
Pontes e Lacerda,19,BR,1561524914,94,-15.23,-59.33,67.73,67.73,7.29
Carmo do Rio Claro,32,BR,1561524914,85,-20.97,-46.12,58.91,58.91,1.9
Gorontalo,85,ID,1561524914,67,0.54,123.06,84.29,84.29,12.95
Cayenne,67,GF,1561524914,94,4.94,-52.33,77.0,77.0,2.24
Chabahar,12,IR,1561524914,56,25.29,60.65,90.41,90.41,5.99
Dikson,87,RU,1561524833,97,73.51,80.55,33.71,33.71,21.83
Oksfjord,75,NO,1561524914,81,70.24,22.35,52.0,50.11,23.04
Menfi,0,IT,1561524915,73,37.61,12.97,81.0,74.52,1.12
Oneonta,19,US,1561524635,89,42.45,-75.06,63.0,61.16,3.51
Petatlan,90,MX,1561524915,72,17.52,-101.27,84.47,84.47,10.54
Logansport,1,US,1561524915,73,40.75,-86.36,73.99,71.83,10.29
Carnarvon,0,ZA,1561524547,35,-30.97,22.13,41.81,41.81,11.86
Hamilton,5,CA,1561524685,88,43.26,-79.87,69.01,65.53,5.82
Sarhari,0,PK,1561524915,22,26.1,68.48,106.07,106.07,7.14
Dusti,40,TJ,1561524916,33,37.35,68.68,87.8,87.8,6.71
Talnakh,75,RU,1561524916,56,69.49,88.39,42.8,42.8,8.95
Mufumbwe,0,ZM,1561524916,61,-13.68,24.8,59.09,59.09,9.55
Namatanai,94,PG,1561524916,75,-3.66,152.44,81.59,81.59,6.93
Nalut,0,LY,1561524916,48,31.86,10.98,76.91,76.91,5.3
Murmashi,0,RU,1561524916,58,68.82,32.82,55.4,55.4,4.47
Makasar,40,ID,1561524917,52,-6.28,106.88,89.01,88.23,9.17
Fairbanks,40,US,1561524900,33,64.84,-147.72,73.4,70.3,6.93
Buenavista,20,CO,1561524917,100,4.36,-75.74,66.2,65.41,1.3
Klaksvik,97,FO,1561524917,93,62.23,-6.59,50.0,50.0,12.75
Point Pleasant,1,US,1561524753,78,40.08,-74.07,77.0,73.02,5.82
Qingdao,75,CN,1561524918,61,36.09,120.35,81.0,80.8,8.95
Baddomalhi,0,PK,1561524918,56,31.99,74.67,95.0,94.44,6.93
Virginia Beach,1,US,1561524779,94,36.85,-75.98,79.0,74.84,7.18
Key Largo,1,US,1561524918,83,25.09,-80.45,84.99,80.4,5.61
Boyuibe,23,BO,1561524918,72,-20.43,-63.28,40.91,40.91,4.97
Yingcheng,40,CN,1561524918,55,30.93,113.57,87.8,87.8,2.24
Guhagar,0,IN,1561524918,81,17.48,73.19,83.93,83.93,13.47
Tiarei,20,PF,1561524766,78,-17.53,-149.33,80.01,79.54,4.7
Kavieng,100,PG,1561524919,75,-2.57,150.8,84.83,84.83,17.98
Tautira,20,PF,1561524919,78,-17.73,-149.15,80.01,79.56,4.7
Capreol,20,CA,1561524919,87,46.71,-80.92,61.0,60.26,10.29
Beckley,1,US,1561524919,93,37.78,-81.19,62.6,60.15,1.74
Villablino,21,ES,1561524919,82,42.94,-6.32,63.0,57.49,4.7
Lebu,40,ET,1561524919,82,8.96,38.73,57.2,57.2,4.7
Richards Bay,71,ZA,1561524920,77,-28.77,32.06,65.21,65.21,9.15
Yar-Sale,49,RU,1561524920,49,66.83,70.83,54.59,54.59,13.76
Shellbrook,75,CA,1561524920,82,53.22,-106.39,57.2,57.2,3.36
Tyukhtet,81,RU,1561524920,43,56.54,89.31,77.63,77.63,5.14
Erenhot,5,CN,1561524920,11,43.65,111.97,89.87,89.87,8.28
Aksu,0,KZ,1561524920,47,52.04,76.93,80.6,80.6,15.66
Guarapari,0,BR,1561524921,88,-20.67,-40.5,71.6,70.81,5.82
San Quintin,82,PH,1561524921,63,17.54,120.52,88.25,88.25,10.67
Esperance,20,TT,1561524921,83,10.24,-61.45,78.8,77.47,8.59
Belmonte,0,PT,1561524921,73,40.36,-7.35,57.99,57.99,2.86
Qiongshan,20,CN,1561524921,63,20.01,110.35,93.2,93.2,4.47
San Cristobal,90,EC,1561524921,93,-0.39,-78.55,55.4,52.5,4.7
Rognan,75,NO,1561524922,81,67.1,15.4,50.0,49.44,9.17
Gat,0,SN,1561524922,88,14.69,-16.54,75.2,75.2,9.17
Najran,0,SA,1561524922,24,17.54,44.22,82.4,82.4,6.93
Meadow Lake,24,CA,1561524922,95,54.13,-108.44,48.29,48.29,4.97
Katsuura,75,JP,1561524922,83,33.93,134.5,80.6,78.37,19.46
Pisco,0,PE,1561524922,87,-13.71,-76.2,59.0,58.15,4.7
Xuddur,0,SO,1561524922,61,4.12,43.89,78.71,78.71,17.83
Jasper,1,US,1561524923,100,33.83,-87.28,79.0,75.09,0.98
Sitka,0,US,1561524923,76,37.17,-99.65,72.0,72.0,5.01
Acapulco,90,MX,1561524630,94,16.86,-99.88,78.8,78.8,2.24
Sumbe,24,AO,1561524923,75,-11.2,13.84,71.69,71.69,7.02
Marsa Matruh,40,EG,1561524897,94,31.35,27.25,73.4,73.4,6.78
Tuatapere,100,NZ,1561524923,80,-46.13,167.69,51.01,51.01,5.01
Itarema,0,BR,1561524923,95,-2.92,-39.92,72.41,72.41,6.71
Bhopal,40,IN,1561524663,62,23.25,77.4,89.6,89.6,9.17
Tucuman,0,PE,1561524924,33,-17.17,-70.89,48.47,48.47,3.65
Lagos,98,NG,1561524657,92,6.46,3.39,75.65,75.65,6.64
Povenets,0,RU,1561524924,64,62.85,34.83,59.09,59.09,4.34
Sao Miguel do Araguaia,0,BR,1561524924,60,-13.28,-50.16,68.27,68.27,2.8
Belyy Yar,0,RU,1561524924,77,53.6,91.39,59.0,59.0,8.95
Santa Maria da Vitoria,46,BR,1561524919,61,-13.39,-44.19,64.49,64.49,2.42
Chokurdakh,0,RU,1561524924,23,70.62,147.9,77.45,77.45,11.48
Constitucion,55,MX,1561524924,51,23.99,-104.67,71.01,71.01,5.01
Noumea,0,NC,1561524925,73,-22.28,166.46,75.2,75.2,17.22
Troyes,0,FR,1561524894,88,48.3,4.07,68.0,65.68,6.93
Igarka,17,RU,1561524925,35,67.47,86.57,55.31,55.31,7.63
La Ronge,75,CA,1561524925,76,55.1,-105.3,55.4,55.4,3.36
Nikolskoye,0,RU,1561524925,72,59.7,30.79,63.0,62.38,4.47
Sorong,96,ID,1561524925,71,-0.86,131.25,83.75,83.75,12.53
Haines Junction,72,CA,1561524925,88,60.75,-137.51,53.69,53.69,3.74
Aktau,0,KZ,1561524926,38,43.65,51.16,89.6,89.6,15.66
Edmundston,90,CA,1561524926,87,47.36,-68.33,55.99,54.77,11.41
Avera,1,US,1561524926,88,33.19,-82.53,77.0,73.02,3.44
Codrington,40,AU,1561524926,77,-28.95,153.24,64.4,62.49,14.99
Yagodnoye,51,RU,1561524926,44,62.52,149.63,61.79,61.79,15.77
Makakilo City,90,US,1561524658,94,21.35,-158.09,78.8,76.17,6.93
Klyavlino,15,RU,1561524926,68,54.26,52.03,61.07,61.07,12.93
Ulaangom,83,MN,1561524927,25,49.98,92.07,67.37,67.37,16.49
Praia da Vitoria,40,PT,1561524927,88,38.73,-27.07,64.99,64.71,15.75
Eureka,0,US,1561524656,87,40.8,-124.16,55.99,53.62,5.17
Salinas,1,US,1561524676,82,36.67,-121.66,63.0,59.31,0.96
Mutis,88,CO,1561524927,81,6.23,-77.4,79.97,79.97,4.59
Saskylakh,66,RU,1561524927,21,71.97,114.09,86.99,86.99,8.3
Sisimiut,100,GL,1561524907,88,66.94,-53.67,41.27,41.27,12.8
Brae,25,GB,1561524928,87,60.4,-1.35,50.0,50.0,9.17
Karpathos,20,GR,1561524928,88,35.51,27.21,75.2,75.2,13.87
Dwarka,40,IN,1561524928,50,28.58,77.04,96.8,94.95,4.7
Turinsk,100,RU,1561524928,58,58.04,63.7,61.25,61.25,8.57
Batagay,71,RU,1561524928,37,67.65,134.64,77.45,77.45,3.2
Pesqueira,39,BR,1561524928,98,-8.36,-36.7,58.19,58.19,3.53
Ilulissat,81,GL,1561524928,87,69.22,-51.1,42.8,42.8,5.82
Bilma,5,NE,1561524929,23,18.69,12.92,87.71,87.71,6.85
Maceio,40,BR,1561524888,94,-9.67,-35.74,68.0,68.0,4.7
Maragogi,65,BR,1561524929,94,-9.01,-35.22,67.55,67.55,2.44
Baker City,40,US,1561524929,76,44.77,-117.83,60.8,58.5,5.82
Pedernales,67,EC,1561524929,82,0.07,-80.05,76.19,76.19,11.43
Norman Wells,90,CA,1561524929,81,65.28,-126.83,48.2,48.2,11.41
Wanning,0,AT,1561524930,88,48.64,13.53,78.01,68.36,2.24
Tarskoye,3,RU,1561524930,54,42.97,44.77,78.8,76.12,6.71
Sedlcany,0,CZ,1561524930,83,49.66,14.43,73.99,71.2,2.24
Mehamn,75,NO,1561524930,71,71.03,27.85,50.0,48.2,24.16
Portage,1,US,1561524772,65,41.58,-87.18,77.0,73.44,3.36
Esso,99,RU,1561524930,53,55.93,158.7,54.05,54.05,9.13
Chulumani,0,BO,1561524930,49,-16.41,-67.53,30.47,30.47,3.2
Madingou,24,CG,1561524930,89,-4.17,13.56,66.47,66.47,3.31
Shaunavon,34,CA,1561524931,61,49.65,-108.41,55.67,55.67,3.65
Chapais,90,CA,1561524931,93,49.78,-74.86,59.0,59.0,9.17
Almaznyy,0,RU,1561524931,35,48.03,40.04,73.4,73.4,13.42
Porangatu,0,BR,1561524931,57,-13.44,-49.14,68.63,68.63,1.48
Meulaboh,51,ID,1561524931,62,4.14,96.13,85.01,85.01,5.3
Semnan,40,IR,1561524931,15,35.58,53.39,93.2,93.2,6.8
Pevek,0,RU,1561524931,86,69.7,170.27,34.97,34.97,24.63
Ponta Pora,100,BR,1561524690,98,-22.54,-55.73,62.33,62.33,5.84
Santa Maria,100,BR,1561524932,78,-29.69,-53.81,43.25,43.25,3.0
Skibbereen,75,IE,1561524933,93,51.55,-9.27,57.2,57.2,10.29
Lively,1,US,1561524933,83,33.6,-99.18,80.01,79.21,11.99
Lima,40,PE,1561524842,87,-12.06,-77.04,60.8,60.8,6.93
Nhulunbuy,40,AU,1561524933,57,-12.18,136.78,80.6,80.6,12.75
Husavik,14,CA,1561524933,65,50.56,-96.99,62.01,59.86,8.23
Tocopilla,12,CL,1561524933,85,-22.09,-70.2,58.37,58.37,12.62
Damavand,0,IR,1561524934,22,35.72,52.07,87.8,87.3,11.41
Machinga,18,MW,1561524934,72,-15.18,35.3,64.85,64.85,3.87
Cochrane,97,CL,1561524934,96,-47.25,-72.57,29.75,29.75,3.36
Joao Pinheiro,16,BR,1561524926,73,-17.74,-46.17,64.13,64.13,2.55
Kourou,83,GF,1561524934,94,5.16,-52.64,77.0,77.0,2.24
Jaguarari,96,BR,1561524934,89,-10.26,-40.2,64.31,64.31,11.39
Mezen,0,RU,1561524934,54,65.85,44.24,58.91,58.91,5.28
Road Town,1,VG,1561524679,78,18.42,-64.62,82.4,81.1,3.36
Port Moresby,90,PG,1561524839,100,-9.47,147.16,77.0,77.0,17.22
Adrar,0,DZ,1561524935,8,27.87,-0.29,87.8,87.8,5.82
Mwene-Ditu,76,CD,1561524935,40,-7.01,23.45,68.81,68.81,4.65
Gornopravdinsk,100,RU,1561524935,74,60.06,69.92,50.63,50.63,11.74
Xapuri,7,BR,1561524935,87,-10.65,-68.5,71.33,71.33,2.28
Usinsk,95,RU,1561524935,60,66.0,57.56,52.79,52.79,13.18
Pacific Grove,1,US,1561524935,82,36.62,-121.92,63.0,59.34,8.68
Ukiah,57,US,1561524650,70,39.15,-123.21,61.0,55.33,1.28
Tete,20,MZ,1561524936,93,-16.16,33.59,66.2,66.2,8.9
Drayton Valley,77,CA,1561524936,90,53.22,-114.98,49.73,49.73,3.87
Las Vegas,1,US,1561524684,7,36.17,-115.15,91.4,88.14,9.15
Alta,75,NO,1561524936,66,69.97,23.27,53.6,52.48,14.99
Srednekolymsk,0,RU,1561524936,22,67.46,153.71,81.23,81.23,16.91
Conselheiro Lafaiete,35,BR,1561524936,89,-20.66,-43.79,57.83,57.83,2.44
Sakaiminato,75,JP,1561524936,54,35.55,133.23,84.2,83.03,11.41
Kodinsk,0,RU,1561524937,26,58.6,99.18,85.73,85.73,9.33
Mecca,12,SA,1561524937,39,21.43,39.83,94.55,94.55,3.98
Gatbo,100,PH,1561524937,78,13.58,123.38,85.37,85.37,13.06
Ziarat,0,PK,1561524937,15,30.38,67.73,78.89,78.89,8.95
Tapolca,0,HU,1561524937,94,46.88,17.44,69.8,69.8,2.39
Kuusamo,0,FI,1561524817,62,65.96,29.19,55.4,55.4,4.7
Sao Filipe,0,CV,1561524937,84,14.9,-24.5,74.21,74.21,15.7
Miri,44,NG,1561524938,87,10.31,9.75,72.77,72.77,5.95
Shizuishan,100,CN,1561524938,81,39.02,106.36,60.01,60.01,5.99
Kurumkan,100,RU,1561524938,96,54.33,110.32,49.01,49.01,1.32
Mahebourg,75,MU,1561524842,83,-20.41,57.7,75.2,74.53,16.11
Rusape,0,ZW,1561524938,73,-18.53,32.12,53.51,53.51,2.75
Borogontsy,34,RU,1561524938,29,62.67,131.17,78.17,78.17,2.57
